Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Montenegro,MNE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Montenegro,MNE,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0,0,0,0,0,65.1536312849162,59.2818428184282,59.8880597014925,54.4200848656294,75.036231884058,68.3739433117852,45.3313253012048,51.9338959212377,63.4727503168568,55.2158840214308,49.6503496503497,..,..,..,..,..
Montenegro,MNE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,..,..,47.61,44.83,42.27,38.76,49.16,49.09,42.77,45.86,49.34,45.95,42.96,43.89,37.77,40.6,38.74,39.56
Montenegro,MNE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,..,..,..,..,..,19.6703114452057,16.7041024399155,17.0812463259878,13.71165430388,19.1265892200156,16.0574416189779,11.8225168151278,13.5375622562581,15.0454482580897,12.9572960184337,..,..,..,..,..,..
Montenegro,MNE,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,52.5760757270039,57.393713064573,53.9609430399682,60.7416731458955,52.3801337059942,62.0834407021966,63.2461102248057,61.2001020386071,63.8690239130058,64.6646970020115,..,..,..,..,..,..
Morocco,MAR,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,68.2811163803156,77.356107935664,75.5956678700361,70.8830980817952,70.7088393109291,65.9979263867289,64.9516713652839,62.6074282555159,56.7217898832685,51.3738472452116,45.9023318688746,46.704790850196,43.3729650631059,43.3920069254076,55.0267863354902,55.525632706035,..,..,..,..,..
Morocco,MAR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,5.58190157816995,5.78891399707564,5.57925828683951,8.78272409217035,9.08218017509178,5.07516848107828,5.02416431735803,4.59868321857566,4.51848249027237,12.1447150626626,14.650219668807,8.0220747020715,5.96670934699104,9.30601644784302,5.69470535030961,6.11615833874108,..,..,..,..,..
Morocco,MAR,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0,0,0,0,0.711663371928834,10.3836184551581,12.6459927507048,14.1880685530482,13.9445525291829,14.4431307637739,12.5168976005407,16.2001119731265,22.6852021218218,21.0034627037945,19.4809712655674,18.7670343932511,..,..,..,..,..
Morocco,MAR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Morocco,MAR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,25.6394309259115,15.4858434135318,17.5516901870692,19.1096634093377,18.3733408641627,17.4753758424054,16.4569069673782,17.2035985324421,23.3657587548638,20.1891700165524,24.1466711726935,26.3056866352075,25.3118712273642,20.9565719232434,13.1044319209629,7.17391304347826,..,..,..,..,..
Morocco,MAR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,93.9205473062272,92.8419513491958,93.1473580571054,89.9927614911328,89.7938435470206,93.8569206842924,94.0545710833669,93.9990953410062,94.0321011673152,86.006148025538,82.5659006421088,89.21058945853,91.3700384122919,85.3520415524455,87.6121895220205,81.4665801427644,..,..,..,..,..
Morocco,MAR,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.497551115602892,1.36913465372857,1.27338365605514,1.22451441669683,1.1239762778876,1.06791083462934,0.92126459927507,1.40222144041815,1.44941634241245,1.84913691179948,2.78387968908415,2.76733583939854,2.66325224071703,5.34194199971144,6.69310512766994,8.19273199221285,..,..,..,..,..
Morocco,MAR,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,64000000,206000000,194000000,203000000,199000000,206000000,183000000,279000000,298000000,391000000,659000000,692000000,728000000,1481000000,1924000000,2525000000,..,..,..,..,..
Morocco,MAR,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,6.07945269377284,7.1580486508042,6.85264194289465,10.0072385088672,10.2061564529794,6.14307931570762,5.94542891663311,6.00090465899382,5.96789883268483,13.993851974462,17.4340993578912,10.78941054147,8.62996158770807,14.6479584475545,12.3878104779795,14.3088903309539,..,..,..,..,..
Morocco,MAR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,15.26,15.12,14.94,15.71,22.97,20.13,18.12,16.45,14.6,14.25,13.91,11.87,10.93,11.59,11.14,11.25,11.07,10.45,10.86,10.57,10.92
Morocco,MAR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.609149205012969,0.708934299828,0.699134869772275,1.10768777908426,1.01951204189706,0.62738211774264,0.65236711502935,0.680849557849525,0.685662301006964,1.65037215241618,2.07414162910471,1.2858688407976,1.08734799095224,1.87145877414529,1.61676234508113,..,..,..,..,..,..
Morocco,MAR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,86.5299664874557,87.5474677028709,87.7969260608658,87.1469071015895,81.4904464612202,84.2270375107239,84.8230621651846,85.3389983026673,86.3739481175884,86.3717325808889,87.0983164009374,88.6551487801864,89.1059794002673,88.2493003027131,88.4688628123422,..,..,..,..,..,..
Mozambique,MOZ,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Mozambique,MOZ,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,99.546204620462,99.6297854438368,99.7010698552549,99.6607683139268,99.6073074953048,99.8419269853218,99.8642871683518,99.9191341129634,99.9140609506181,99.9233626127454,99.8859954398176,99.8811645870469,99.8615323750494,97.6569318563276,91.1575743913436,86.4108873600161,..,..,..,..,..
Mozambique,MOZ,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0.0206270627062706,0.016827934371056,0.0314663310258024,0.0275052718437701,0.0597575550623186,0.0526910048927362,0.0542851326592929,0.0622045284896741,0.0793283532755999,0.0707422036196428,0.108004320172807,0.11883541295306,0.138467624950547,2.34306814367237,8.84242560865645,12.8257921960528,..,..,..,..,..
Mozambique,MOZ,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Mozambique,MOZ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.433168316831683,0.353386621792175,0.26746381371932,0.311726414229394,0.332934949632918,0.105382009785472,0.0814276989889394,0.0186613585469022,0.00661069610629999,0.00589518363497023,0.00600024000960038,0,0,0,0,0.7633204439311,..,..,..,..,..
Mozambique,MOZ,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.453795379537954,0.370214556163231,0.298930144745123,0.339231686073164,0.392692504695237,0.158073014678209,0.135712831648232,0.0808658870365763,0.0859390493818999,0.076637387254613,0.114004560182407,0.11883541295306,0.138467624950547,2.34306814367237,8.84242560865645,13.5891126399839,..,..,..,..,..
Mozambique,MOZ,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Mozambique,MOZ,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
